nm,R
5713.7,0.9850237
5721.42,0.9846917
5729.14,0.9849237
5736.86,0.9853032
5744.58,0.9854132
5752.3,0.9854552
5760.02,0.9854387
5767.74,0.9849077
5775.47,0.9845492
5783.19,0.9849507
5790.91,0.9854247
5798.63,0.9856942
5806.35,0.9858822
5814.07,0.9858447
5821.79,0.9851242
5829.51,0.9844102
5837.24,0.9845917
5844.96,0.9851642
5852.68,0.9854887
5860.4,0.9853587
5868.12,0.9852087
5875.84,0.9850657
5883.56,0.9845432
5891.28,0.9840687
5899.01,0.9841492
5906.73,0.9846227
5914.45,0.9850557
5922.17,0.9852167
5929.89,0.9849652
5937.61,0.9841217
5945.33,0.9836132
5953.05,0.9841262
5960.78,0.9847332
5968.5,0.9847482
5976.22,0.9844997
5983.94,0.9842927
5991.66,0.9840937
5999.38,0.9842292
6007.1,0.9846037
6014.82,0.9846907
6022.54,0.9846442
6030.27,0.9849442
6037.99,0.9851962
6045.71,0.9846367
6053.43,0.9836562
6061.15,0.9835312
6068.87,0.9837307
6076.59,0.9837377
6084.31,0.9840762
6092.04,0.9847162
6099.76,0.9851577
6107.48,0.9850327
6115.2,0.9844002
6122.92,0.9843272
6130.64,0.9848382
6138.36,0.9851682
6146.08,0.9851317
6153.81,0.9849447
6161.53,0.9847792
6169.25,0.9848137
6176.97,0.9849417
6184.69,0.9848567
6192.41,0.9847902
6200.13,0.9850207
6207.85,0.9852292
6215.58,0.9852047
6223.3,0.9851547
6231.02,0.9852407
6238.74,0.9853807
6246.46,0.9854802
6254.18,0.9855202
6261.9,0.9854772
6269.62,0.9854082
6277.34,0.9854207
6285.07,0.9855337
6292.79,0.9856487
6300.51,0.9857452
6308.23,0.9858182
6315.95,0.9858732
6323.67,0.9859587
6331.39,0.9859987
6339.11,0.9857217
6346.84,0.9852342
6354.56,0.9852032
6362.28,0.9854922
6370,0.9854912
6377.72,0.9852852
6385.44,0.9853477
6393.16,0.9856657
6400.88,0.9859247
6408.61,0.9854797
6416.33,0.9841497
6424.05,0.9835412
6431.77,0.9839777
6439.49,0.9846057
6447.21,0.9850157
6454.93,0.9852792
6462.65,0.9854647
6470.38,0.9854977
6478.1,0.9852437
6485.82,0.9846317
6493.54,0.9840022
6501.26,0.9839317
6508.98,0.9844242
6516.7,0.9848807
6524.42,0.9850392
6532.14,0.9851492
6539.87,0.9853667
6547.59,0.9854732
6555.31,0.9853767
6563.03,0.9850907
6570.75,0.9845807
6578.47,0.9840947
6586.19,0.9839282
6593.91,0.9840792
6601.64,0.9844452
6609.36,0.9848727
6617.08,0.9851602
6624.8,0.9850597
6632.52,0.9844467
6640.24,0.9837227
6647.96,0.9838607
6655.68,0.9845952
6663.41,0.9851302
6671.13,0.9852147
6678.85,0.9850122
6686.57,0.9849042
6694.29,0.9850262
6702.01,0.9851382
6709.73,0.9849662
6717.45,0.9845882
6725.18,0.9845767
6732.9,0.9849602
6740.62,0.9853547
6748.34,0.9856052
6756.06,0.9857137
6763.78,0.9857082
6771.5,0.9855837
6779.22,0.9852997
6786.94,0.9849127
6794.67,0.9847992
6802.39,0.9850682
6810.11,0.9854397
6817.83,0.9856507
6825.55,0.9856387
6833.27,0.9855612
6840.99,0.9856822
6848.71,0.9858107
6856.44,0.9854892
6864.16,0.9848992
6871.88,0.9845412
6879.6,0.9846612
6887.32,0.9850437
6895.04,0.9852772
6902.76,0.9852447
6910.48,0.9851552
6918.21,0.9851217
6925.93,0.9851752
6933.65,0.9852887
6941.37,0.9854032
6949.09,0.9853807
6956.81,0.9851437
6964.53,0.9848467
6972.25,0.9846532
6979.98,0.9846437
6987.7,0.9846457
6995.42,0.9845622
7003.14,0.9845247
7010.86,0.9845552
7018.58,0.9846377
7026.3,0.9847097
7034.02,0.9846402
7041.74,0.9843487
7049.47,0.9839862
7057.19,0.9837487
7064.91,0.9838342
7072.63,0.9841242
7080.35,0.9843292
7088.07,0.9844482
7095.79,0.9844937
7103.51,0.9844842
7111.24,0.9843822
7118.96,0.9842752
7126.68,0.9842007
7134.4,0.9841587
7142.12,0.9841027
7149.84,0.9839887
7157.56,0.9839012
7165.28,0.9838707
7173.01,0.9838917
7180.73,0.9839817
7188.45,0.9840847
7196.17,0.9841382
7203.89,0.9841172
7211.61,0.9840067
7219.33,0.9839462
7227.05,0.9839497
7234.78,0.9839727
7242.5,0.9839812
7250.22,0.9839112
7257.94,0.9837557
7265.66,0.9835342
7273.38,0.9832587
7281.1,0.9830337
7288.82,0.9829072
7296.54,0.9828167
7304.27,0.9827207
7311.99,0.9825752
7319.71,0.9823932
7327.43,0.9821722
7335.15,0.9819032
7342.87,0.9816267
7350.59,0.9814442
7358.31,0.9813152
7366.04,0.9812167
7373.76,0.9810502
7381.48,0.9808412
7389.2,0.9806102
7396.92,0.9803732
7404.64,0.9801387
7412.36,0.9799152
7420.08,0.9797047
7427.81,0.9795192
7435.53,0.9793187
7443.25,0.9790597
7450.97,0.9787257
7458.69,0.9782647
7466.41,0.9778162
7474.13,0.9774202
7481.85,0.9771332
7489.58,0.9769042
7497.3,0.9766462
7505.02,0.9763432
7512.74,0.9759532
7520.46,0.9755142
7528.18,0.9750407
7535.9,0.9745322
7543.62,0.9740192
7551.34,0.9735087
7559.07,0.9730032
7566.79,0.9724207
7574.51,0.9717397
7582.23,0.9709712
7589.95,0.9701082
7597.67,0.9692552
7605.39,0.9684112
7613.11,0.9675807
7620.84,0.9666912
7628.56,0.9657317
7636.28,0.9646767
7644,0.9634562
7651.72,0.9621552
7659.44,0.9607762
7667.16,0.9592847
7674.88,0.9577247
7682.61,0.9560932
7690.33,0.9542717
7698.05,0.9522812
7705.77,0.9501372
7713.49,0.9476932
7721.21,0.9450542
7728.93,0.9422517
7736.65,0.9391517
7744.38,0.9358002
7752.1,0.9322437
7759.82,0.9282882
7767.54,0.9239867
7775.26,0.9194007
7782.98,0.9142057
7790.7,0.9085082
7798.42,0.9024092
7806.14,0.8954992
7813.87,0.8880727
7821.59,0.8802217
7829.31,0.8714952
7837.03,0.8622887
7844.75,0.8526387
7852.47,0.8420412
7860.19,0.8310257
7867.91,0.8195017
7875.64,0.8072817
7883.36,0.7948102
7891.08,0.7820037
7898.8,0.7690172
7906.52,0.7560192
7914.24,0.7430922
7921.96,0.7304382
7929.68,0.7180087
7937.41,0.7062747
7945.13,0.6952037
7952.85,0.6847087
7960.57,0.6756257
7968.29,0.6671882
7976.01,0.6597082
7983.73,0.6534492
7991.45,0.6478272
7999.18,0.6434502
8006.9,0.6399672
8014.62,0.6370792
8022.34,0.6355302
8030.06,0.6344452
8037.78,0.6340752
8045.5,0.6345057
8053.22,0.6353062
8060.94,0.6368492
8068.67,0.6387942
8076.39,0.6410782
8084.11,0.6439007
8091.83,0.6468962
8099.55,0.6502107
8107.27,0.6537432
8114.99,0.6573922
8122.71,0.6612877
8130.44,0.6652312
8138.16,0.6692687
8145.88,0.6733647
8153.6,0.6774852
8161.32,0.6816802
8169.04,0.6858817
8176.76,0.6901007
8184.48,0.6942667
8192.21,0.6984017
8199.93,0.7024207
8207.65,0.7063992
8215.37,0.7103112
8223.09,0.7141467
8230.81,0.7179427
8238.53,0.7216067
8246.25,0.7252287
8253.98,0.7287647
8261.7,0.7322342
8269.42,0.7356562
8277.14,0.7389802
8284.86,0.7422657
8292.58,0.7454532
8300.3,0.7485767
8308.02,0.7516292
8315.74,0.7545982
8323.47,0.7575342
8331.19,0.7603922
8338.91,0.7632242
8346.63,0.7659972
8354.35,0.7687152
8362.07,0.7713842
8369.79,0.7739712
8377.51,0.7765287
8385.24,0.7789952
8392.96,0.7814347
8400.68,0.7838132
8408.4,0.7861497
8416.12,0.7884497
8423.84,0.7907007
8431.56,0.7929342
8439.28,0.7951172
8447.01,0.7972862
8454.73,0.7994137
8462.45,0.8015162
8470.17,0.8035857
8477.89,0.8056242
8485.61,0.8076432
8493.33,0.8096287
8501.05,0.8116027
8508.78,0.8135257
8516.5,0.8154327
8524.22,0.8172947
8531.94,0.8191482
8539.66,0.8209897
8547.38,0.8228437
8555.1,0.8247047
8562.82,0.8265627
8570.54,0.8284177
8578.27,0.8302267
8585.99,0.8320262
8593.71,0.8337867
8601.43,0.8355437
8609.15,0.8372967
8616.87,0.8390482
8624.59,0.8407992
8632.31,0.8425357
8640.04,0.8442602
8647.76,0.8459627
8655.48,0.8476532
8663.2,0.8493177
8670.92,0.8509737
8678.64,0.8525992
8686.36,0.8542207
8694.08,0.8558392
8701.81,0.8574632
8709.53,0.8591232
8717.25,0.8607977
8724.97,0.8625107
8732.69,0.8642297
8740.41,0.8659602
8748.13,0.8676872
8755.85,0.8694107
8763.57,0.8711367
8771.3,0.8728642
8779.02,0.8745902
8786.74,0.8763147
8794.46,0.8780217
8802.18,0.8797202
8809.9,0.8814222
8817.62,0.8831222
8825.34,0.8848687
8833.07,0.8866207
8840.79,0.8884277
8848.51,0.8902377
8856.23,0.8921002
8863.95,0.8939632
8871.67,0.8958827
8879.39,0.8977997
8887.11,0.8997442
8894.84,0.9016852
8902.56,0.9036257
8910.28,0.9055637
8918,0.9075092
8925.72,0.9094527
8933.44,0.9114047
8941.16,0.9133492
8948.88,0.9152597
8956.61,0.9171597
8964.33,0.9189862
8972.05,0.9208012
8979.77,0.9225247
8987.49,0.9242357
8995.21,0.9258212
9002.93,0.9273947
9010.65,0.9288032
9018.37,0.9302042
9026.1,0.9314267
9033.82,0.9326472
9041.54,0.9336737
9049.26,0.9346957
9056.98,0.9355042
9064.7,0.9362982
