nm,T
1021,0.8726516
1022,0.8724996
1023,0.872727
1024,0.8727924
1025,0.8726335
1026,0.8728823
1027,0.8727302
1028,0.8731127
1029,0.8729738
1030,0.8728669
1031,0.8729383
1032,0.8726426
1033,0.8727623
1034,0.8726234
1035,0.8728543
1036,0.872874
1037,0.8727784
1038,0.8728527
1039,0.8729478
1040,0.8729333
1041,0.8727587
1042,0.8726439
1043,0.8725515
1044,0.8727014
1045,0.8728564
1046,0.8729871
1047,0.8725454
1048,0.8729449
1049,0.8728202
1050,0.8727229
1051,0.8726111
1052,0.8725948
1053,0.872764
1054,0.8729836
1055,0.872848
1056,0.8729731
1057,0.8729482
1058,0.8727556
1059,0.8728632
1060,0.8726489
1061,0.8727709
1062,0.872706
1063,0.8729564
1064,0.8726181
1065,0.8728081
1066,0.8727551
1067,0.8726282
1068,0.8726903
1069,0.8731034
1070,0.8728406
1071,0.8729934
1072,0.8727416
1073,0.872829
1074,0.8725086
1075,0.8728096
1076,0.8728052
1077,0.8729112
1078,0.8731731
1079,0.8730965
1080,0.8727342
1081,0.8731689
1082,0.8732113
1083,0.8733008
1084,0.8731579
1085,0.8729041
1086,0.873024
1087,0.8729423
1088,0.8730332
1089,0.8728784
1090,0.8729746
1091,0.8729182
1092,0.872999
1093,0.8729172
1094,0.8729797
1095,0.8733614
1096,0.8731288
1097,0.8727651
1098,0.8729742
1099,0.8731203
1100,0.8730369
1101,0.8730891
1102,0.8730626
1103,0.8731185
1104,0.8732353
1105,0.8730657
1106,0.8732349
1107,0.8730959
1108,0.8732479
1109,0.8729167
1110,0.8732083
1111,0.8731158
1112,0.8733731
1113,0.873246
1114,0.8732855
1115,0.8732874
1116,0.8734564
1117,0.8733856
1118,0.8730146
1119,0.8731693
1120,0.8731381
1121,0.8733839
1122,0.8731402
1123,0.8734127
1124,0.8732396
1125,0.873238
1126,0.8733817
1127,0.8733393
1128,0.8735194
1129,0.8734219
1130,0.8736165
1131,0.8732808
1132,0.8733686
1133,0.8732359
1134,0.8735174
1135,0.8731404
1136,0.873393
1137,0.8734703
1138,0.8734726
1139,0.8734584
1140,0.8735575
1141,0.8734544
1142,0.873241
1143,0.8732835
1144,0.8734401
1145,0.8736943
1146,0.8735709
1147,0.8736364
1148,0.8735732
1149,0.8734162
1150,0.8735238
1151,0.8733822
1152,0.8734856
1153,0.8733842
1154,0.8737067
1155,0.8736257
1156,0.8735603
1157,0.8734981
1158,0.8735127
1159,0.8736608
1160,0.8736913
1161,0.8735642
1162,0.8734857
1163,0.8735346
1164,0.8735703
1165,0.8738016
1166,0.8737539
1167,0.8736997
1168,0.8736811
1169,0.8736938
1170,0.8737283
1171,0.873571
1172,0.8735167
1173,0.8734928
1174,0.8735385
1175,0.8738148
1176,0.8738383
1177,0.8738015
1178,0.8738887
1179,0.8738541
1180,0.8738761
1181,0.8736791
1182,0.873604
1183,0.8737546
1184,0.8738002
1185,0.8737255
1186,0.873804
1187,0.8737522
1188,0.8737326
1189,0.8738438
1190,0.8738639
1191,0.8740837
1192,0.8741927
1193,0.8741687
1194,0.8742725
1195,0.8742506
1196,0.8743711
1197,0.8739869
1198,0.8739894
1199,0.8739481
1200,0.8741014
1201,0.8739418
1202,0.8741032
1203,0.8741367
1204,0.8739622
1205,0.8738874
1206,0.873993
1207,0.8741979
1208,0.874046
1209,0.8741403
1210,0.8740888
1211,0.8741832
1212,0.8741164
1213,0.8740811
1214,0.8739942
1215,0.874163
1216,0.8742983
1217,0.8744021
1218,0.8743938
1219,0.8741976
1220,0.8742845
1221,0.8741711
1222,0.874189
1223,0.8742079
1224,0.8743108
1225,0.8743393
1226,0.8743522
1227,0.8744002
1228,0.8743096
1229,0.8744228
1230,0.8744035
1231,0.8743309
1232,0.874373
1233,0.8744902
1234,0.8744331
1235,0.874248
1236,0.8741193
1237,0.8742011
1238,0.8742213
1239,0.8742205
1240,0.8742189
1241,0.8742734
1242,0.8744526
1243,0.8744864
1244,0.8744948
1245,0.8745262
1246,0.8746441
1247,0.8747312
1248,0.8747148
1249,0.8745376
1250,0.8744339
1251,0.8745594
1252,0.8745257
1253,0.8744754
1254,0.8744029
1255,0.8745306
1256,0.8747501
1257,0.8747723
1258,0.8747683
1259,0.8746138
1260,0.8745128
1261,0.874538
1262,0.874557
1263,0.8745707
1264,0.8745773
1265,0.8746523
1266,0.8746795
1267,0.8746203
1268,0.8745204
1269,0.8746095
1270,0.8746752
1271,0.8747829
1272,0.8748128
1273,0.8747339
1274,0.8746376
1275,0.8746462
1276,0.8747497
1277,0.8747581
1278,0.8747773
1279,0.8747281
1280,0.8748828
1281,0.8750131
1282,0.8750253
1283,0.8750159
1284,0.8750777
1285,0.874999
1286,0.8748376
1287,0.8748743
1288,0.8749432
1289,0.8749026
1290,0.8748146
1291,0.8747395
1292,0.8747053
1293,0.874754
1294,0.8747152
1295,0.8748654
1296,0.8749149
1297,0.8749051
1298,0.8750799
1299,0.8749276
1300,0.8748304
1301,0.8749848
1302,0.8748818
1303,0.8747608
1304,0.874724
1305,0.8746122
1306,0.8746015
1307,0.8746319
1308,0.8747893
1309,0.8746978
1310,0.8746841
1311,0.8746783
1312,0.8746592
1313,0.8748064
1314,0.8747747
1315,0.8747674
1316,0.8749061
1317,0.8747977
1318,0.8748834
1319,0.874914
1320,0.8750084
1321,0.8749992
1322,0.8748566
1323,0.8749082
1324,0.8749171
1325,0.8748509
1326,0.8748058
1327,0.874842
1328,0.8748144
1329,0.8749721
1330,0.8750853
1331,0.87518
1332,0.8750525
1333,0.8750468
1334,0.8750935
1335,0.8747756
1336,0.8746474
1337,0.8748653
1338,0.8750279
1339,0.8750777
1340,0.8750564
1341,0.874832
1342,0.8750375
1343,0.8750281
1344,0.8750143
1345,0.8749715
1346,0.8749679
1347,0.8750325
1348,0.8751285
1349,0.8754795
1350,0.8751708
1351,0.8748501
1352,0.874855
1353,0.8747293
1354,0.8751183
1355,0.8752586
1356,0.8752293
1357,0.8752849
1358,0.8750917
1359,0.8746791
1360,0.874881
1361,0.8747443
1362,0.8750267
1363,0.875088
1364,0.8750285
1365,0.8746732
1366,0.8748268
1367,0.8749541
1368,0.8749054
1369,0.8745895
1370,0.874702
1371,0.8749021
1372,0.8750841
1373,0.8750288
1374,0.8751611
1375,0.8752913
1376,0.8753842
1377,0.8754932
1378,0.8748563
1379,0.8749634
1380,0.8747581
1381,0.8746236
1382,0.8748027
1383,0.8750284
1384,0.8754679
1385,0.8749486
1386,0.8748879
1387,0.8751084
1388,0.8752811
1389,0.8749022
1390,0.8747616
1391,0.8749814
1392,0.8751352
1393,0.8747457
1394,0.8749164
1395,0.8747728
1396,0.8753056
1397,0.874986
1398,0.8745589
1399,0.8751522
1400,0.8751225
1401,0.8747927
1402,0.8749842
1403,0.8750478
1404,0.8750604
1405,0.875144
1406,0.8750704
1407,0.8749313
1408,0.8750201
1409,0.87523
1410,0.8750135
1411,0.8749783
1412,0.8750044
1413,0.8751754
1414,0.8749857
1415,0.8751689
1416,0.8749009
1417,0.8752085
1418,0.8750497
1419,0.8750122
1420,0.8750258
1421,0.8752569
1422,0.8751424
1423,0.8750788
1424,0.8754717
1425,0.8752715
1426,0.8750237
1427,0.8749934
1428,0.875074
1429,0.8750741
1430,0.8753156
1431,0.8751216
1432,0.8749072
1433,0.874951
1434,0.8752066
1435,0.875045
1436,0.8752269
1437,0.8750187
1438,0.8752396
1439,0.8750973
1440,0.8751906
1441,0.8750936
1442,0.8751793
1443,0.8751618
1444,0.8751743
1445,0.8755111
1446,0.8754655
1447,0.8753386
1448,0.8751985
1449,0.8752265
1450,0.8749993
1451,0.8751481
1452,0.8749746
1453,0.875109
1454,0.8748795
1455,0.8750635
1456,0.8749377
1457,0.8753815
1458,0.8752766
1459,0.8751713
1460,0.8752081
1461,0.8750494
1462,0.874992
1463,0.8753253
1464,0.8753448
1465,0.87524
1466,0.8751799
1467,0.8751292
1468,0.8754063
1469,0.8749614
1470,0.8752177
1471,0.8750272
1472,0.8753796
1473,0.8751015
1474,0.8756018
1475,0.8751512
1476,0.8752657
1477,0.8752199
1478,0.8751887
1479,0.8755395
1480,0.8752328
1481,0.8752903
1482,0.8752771
1483,0.8751437
1484,0.8752348
1485,0.8752842
1486,0.8754087
1487,0.8751445
1488,0.8752675
1489,0.875131
1490,0.87526
1491,0.874949
1492,0.8753103
1493,0.8751482
1494,0.8753271
1495,0.8752599
1496,0.8754077
1497,0.8753232
1498,0.8751997
1499,0.8751035
1500,0.8751796
1501,0.8751288
1502,0.8752189
1503,0.875303
1504,0.8753885
1505,0.8753513
